Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,28/08/2026 09:37
Khoảng thời gian,26/08/2026 - 26/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,TDKT - Other 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/06/2026 00:00:00,Không giới hạn,2414,79,3.27%,-,-,3,3,3.80%,3.80%,85163.67,85163.67,5,5,1572600,1572600,255491,6.16,6.16,16.25%,16.25%,-,-,-,0,0
2,Nến Thơm TOP 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,434,10,2.30%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8460,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,Nước Hoa Nữ - 12.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,244,5,2.05%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8229,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Nước Hoa Nam - 12.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,120,3,2.50%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3185,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,NẾN TOP 1 - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,9,0,0.00%,-,-,1,1,0.00%,0.00%,0.00,0.00,1,1,166599,166599,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Nến Top 1 - 25.08,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,25/08/2026 00:00:00,Không giới hạn,2425,78,3.22%,-,-,6,5,7.69%,6.41%,41666.67,50000.00,6,5,1234478,1007118,250000,4.94,4.03,20.25%,24.82%,-,-,-,0,0
7,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [107]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,18/08/2026 00:00:00,Không giới hạn,1372,39,2.84%,10,25.64%,5,4,12.82%,10.26%,57924.54,72405.67,5,4,1404456,1384856,289623,4.85,4.78,20.62%,20.91%,-,-,-,0,0
8,"[HOT DEAL 10ml 39K - 100ml 149K] Nước Hoa Tóc Aroma Story Giúp Thơm Mượt Tóc, Tránh Bết, Khử Mùi, Size 10ml/100ml [20]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23623269794,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,26/03/2026 00:00:00,Không giới hạn,569,39,6.85%,0,0.00%,2,2,5.13%,5.13%,7624.47,7624.47,2,2,78000,78000,15249,5.12,5.12,19.55%,19.55%,-,-,-,7266,39000
9,"Xịt Thơm Phòng, Quần Áo Aroma Story Giúp Khử Mùi, Làm Thơm Không Gian Nhiều Hương Size  200ml [18]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,17283386401,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,458,8,1.75%,0,0.00%,1,1,12.50%,12.50%,23824.74,23824.74,1,1,93852,93852,23825,3.94,3.94,25.39%,25.39%,-,-,-,0,0
10,"Xịt Thơm Phòng, Quấn Áo Trà Trắng & Sung Aroma Story, Nước Hoa Xịt Thơm Size 200ml [9]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,22945218685,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,119,1,0.84%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6245,0.00,0.00,0.00%,0.00%,-,-,-,0,0
