Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,05/07/2026 14:49
Khoảng thời gian,14/04/2026 - 14/04/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến Other,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,25/09/2025 00:00:00,Không giới hạn,918,29,3.16%,-,-,2,2,6.90%,6.90%,30408.84,30408.84,2,2,289060,289060,60818,4.75,4.75,21.04%,21.04%,-,-,-,73500,245000
2,Set Quà Other 01,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/12/2025 00:00:00,Không giới hạn,819,18,2.20%,-,-,2,2,11.11%,11.11%,38842.55,38842.55,2,2,693500,693500,77685,8.93,8.93,11.20%,11.20%,-,-,-,0,0
3,Nến Thơm - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,427,7,1.64%,-,-,3,1,42.86%,14.29%,5498.82,16496.47,3,1,137750,71250,16496,8.35,4.32,11.98%,23.15%,-,-,-,0,0
4,Nước hoa 10ml,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/01/2026 00:00:00,Không giới hạn,1470,31,2.11%,-,-,3,2,9.68%,6.45%,14603.22,21904.83,6,4,379500,276000,43810,8.66,6.30,11.54%,15.87%,-,-,-,0,0
5,Xịt Thơm Phòng,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,02/04/2026 00:00:00,Không giới hạn,649,7,1.08%,-,-,3,3,42.86%,42.86%,3915.04,3915.04,4,4,367800,367800,11745,31.32,31.32,3.19%,3.19%,-,-,-,0,0
6,"Nến - Tặng túi, đế, thiệp",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,11/11/2025 00:00:00,Không giới hạn,465,16,3.44%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5472,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,TD 10ml - 1,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,418,9,2.15%,-,-,1,1,11.11%,11.11%,13740.50,13740.50,1,1,95733,95733,13740,6.97,6.97,14.35%,14.35%,-,-,-,0,0
8,10ml Other,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,31/10/2025 00:00:00,Không giới hạn,381,9,2.36%,-,-,1,1,11.11%,11.11%,28719.91,28719.91,2,2,162960,162960,28720,5.67,5.67,17.62%,17.62%,-,-,-,0,0
9,TDKT - 2,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,02/04/2026 00:00:00,Không giới hạn,195,1,0.51%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,719,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,"[HOT DEAL 10ml 39K - 100ml 149K] Nước Hoa Tóc Aroma Story Giúp Thơm Mượt Tóc, Tránh Bết, Khử Mùi, Size 10ml/100ml [20]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23623269794,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,26/03/2026 00:00:00,Không giới hạn,172,6,3.49%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5636,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"[HOT] Set Quà Tặng Nến Thơm Aroma Story Dành Tặng Người Yêu, Sinh Nhật, Kỷ Niệm [50]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,24985987515,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,07/03/2026 00:00:00,Không giới hạn,4329,97,2.24%,0,0.00%,6,5,6.19%,5.15%,37001.84,44402.20,6,5,879750,879750,222011,3.96,3.96,25.24%,25.24%,-,-,-,23344,96000
12,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [95]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,25/03/2026 00:00:00,Không giới hạn,4316,113,2.62%,0,0.00%,15,12,13.27%,10.62%,32136.64,40170.80,16,12,2703746,2280167,482050,5.61,4.73,17.83%,21.14%,-,-,-,0,0
13,[NEW ARRIVAL] Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Phiên Bản Đặc Biệt Size 50ml/100ml/150ml [14],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,23456586630,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,10/02/2026 00:00:00,Không giới hạn,2666,44,1.65%,0,0.00%,9,5,20.45%,11.36%,33333.33,60000.00,14,9,1672218,1563666,300000,5.57,5.21,17.94%,19.19%,-,-,-,0,0
14,"Nến Thơm Quà Tặng Cao Cấp, Tự Nhiên Aroma Story Giúp Thư Giãn, Dễ Ngủ Với Nhiều Hương, Size Đa Dạng [77]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,12853667421,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,31/03/2026 00:00:00,Không giới hạn,2004,55,2.74%,0,0.00%,5,5,9.09%,9.09%,60337.20,60337.20,6,6,1440220,1440220,301686,4.77,4.77,20.95%,20.95%,-,-,-,0,0
15,"Xịt Thơm Phòng, Quấn Áo Trà Trắng & Sung Aroma Story, Nước Hoa Xịt Thơm Size 200ml [8]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,22945218685,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,14/07/2025 00:00:00,Không giới hạn,1544,26,1.68%,0,0.00%,1,1,3.85%,3.85%,97650.02,97650.02,4,4,415425,415425,97650,4.25,4.25,23.51%,23.51%,-,-,-,0,0
16,"Combo Quà Tặng Nến Thơm Aroma Story Tặng Người Yêu, Bạn Bè Dịp Sinh Nhật, Kỷ Niệm [15]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,27861535821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/04/2026 00:00:00,Không giới hạn,678,19,2.80%,0,0.00%,3,1,15.79%,5.26%,13577.08,40731.23,3,1,223250,223250,40731,5.48,5.48,18.24%,18.24%,-,-,-,0,0
17,"Xịt Thơm Phòng, Quần Áo Aroma Story Giúp Khử Mùi, Làm Thơm Không Gian Nhiều Hương Size  200ml [17]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,17283386401,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,12/12/2025 00:00:00,Không giới hạn,494,5,1.01%,0,0.00%,1,1,20.00%,20.00%,8933.83,8933.83,1,1,0,0,8934,0.00,0.00,0.00%,0.00%,-,-,-,0,0
18,"Nến Thơm Trang Trí Cao Cấp Giúp Thư Giãn Dễ Ngủ Với Nhiều Hương, Cốc Thủy Tinh & Xi Măng Nhiều Size [27]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,10156664385,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/04/2026 00:00:00,Không giới hạn,425,11,2.59%,0,0.00%,1,0,9.09%,0.00%,27572.95,0.00,1,0,111550,0,27573,4.05,0.00,24.72%,0.00%,-,-,-,0,0
19,"Bộ Sản Phẩm Tinh Dầu Cà Phê & Lọ Tán Hương Aroma Story – Hương Thơm Tự Nhiên, Giúp Tập Trung & Thư Giãn [2]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,27736874870,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,03/02/2026 00:00:00,Không giới hạn,251,12,4.78%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,12875,0.00,0.00,0.00%,0.00%,-,-,-,0,0
20,"[Hỏa Tốc HCM] Set Quà Nến Thơm Aroma Story Kèm Phụ Kiện - Quà Sinh Nhật, Kỷ Niệm, Tặng Người Yêu, Bạn Bè [3]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,25447866052,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,07/03/2026 00:00:00,Không giới hạn,182,1,0.55%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,548,0.00,0.00,0.00%,0.00%,-,-,-,0,0
21,"Tinh Dầu Thiên Nhiên Hương Trà Trắng Aroma Story Nguyên Chất  – Xông Phòng, Thư Giãn, Ngủ Ngon 10ml",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,42101096624,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/04/2026 00:00:00,Không giới hạn,119,2,1.68%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7178,0.00,0.00,0.00%,0.00%,-,-,-,0,0
