Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,14/09/2026 14:30
Khoảng thời gian,03/09/2026 - 03/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,NẾN TOP 1 - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,4292,127,2.96%,-,-,9,7,7.09%,5.51%,46756.10,60114.98,10,8,2033724,1963874,420805,4.83,4.67,20.69%,21.43%,-,-,-,0,0
2,TDKT - Other 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/06/2026 00:00:00,Không giới hạn,3596,103,2.86%,-,-,9,7,8.74%,6.80%,41146.37,52902.48,9,7,1788889,1319400,370317,4.83,3.56,20.70%,28.07%,-,-,-,120528,759870
3,Nến Thơm TOP 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,1376,55,4.00%,-,-,2,2,3.64%,3.64%,37188.90,37188.90,5,5,329700,329700,74378,4.43,4.43,22.56%,22.56%,-,-,-,5149,70000
4,Nước Hoa Nữ - 12.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,546,17,3.11%,-,-,1,0,5.88%,0.00%,19004.82,0.00,1,0,40924,0,19005,2.15,0.00,46.44%,0.00%,-,-,-,0,0
5,Nước Hoa Nam - 12.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,304,7,2.30%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7889,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Nến Top 1 - 25.08,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,25/08/2026 00:00:00,Không giới hạn,1,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [107]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,18/08/2026 00:00:00,Không giới hạn,1121,27,2.41%,3,11.11%,1,1,3.70%,3.70%,105360.59,105360.59,1,1,125000,125000,105361,1.19,1.19,84.29%,84.29%,-,-,-,0,0
8,"[HOT DEAL 10ml 39K - 100ml 149K] Nước Hoa Tóc Aroma Story Giúp Thơm Mượt Tóc, Tránh Bết, Khử Mùi, Size 10ml/100ml [20]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23623269794,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,26/03/2026 00:00:00,Không giới hạn,585,31,5.30%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7079,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,"Xịt Thơm Phòng, Quần Áo Aroma Story Giúp Khử Mùi, Làm Thơm Không Gian Nhiều Hương Size  200ml [18]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,17283386401,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,516,8,1.55%,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,12929,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,"Xịt Thơm Phòng, Quấn Áo Trà Trắng & Sung Aroma Story, Nước Hoa Xịt Thơm Size 200ml [9]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,22945218685,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,240,2,0.83%,1,50.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10425,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [104]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,05/08/2026 00:00:00,Không giới hạn,2940,83,2.82%,17,20.48%,8,8,9.64%,9.64%,68750.00,68750.00,10,10,2578100,2578100,550000,4.69,4.69,21.33%,21.33%,-,-,-,0,0
