Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,05/07/2026 16:06
Khoảng thời gian,12/05/2026 - 12/05/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Set Quà Other 01,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/12/2025 00:00:00,Không giới hạn,2069,42,2.03%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,44406,0.00,0.00,0.00%,0.00%,-,-,-,0,0
2,Nến Thơm - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,386,4,1.04%,-,-,1,0,25.00%,0.00%,12166.19,0.00,1,0,280726,0,12166,23.07,0.00,4.33%,0.00%,-,-,-,0,0
3,TDKT - Top,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/05/2026 00:00:00,Không giới hạn,2322,51,2.20%,-,-,5,5,9.80%,9.80%,50498.94,50498.94,5,5,875206,875206,252495,3.47,3.47,28.85%,28.85%,-,-,-,0,0
4,Xịt Thơm Phòng All,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/05/2026 00:00:00,Không giới hạn,1822,27,1.48%,-,-,1,1,3.70%,3.70%,61046.70,61046.70,1,1,94300,94300,61047,1.54,1.54,64.74%,64.74%,-,-,-,0,0
5,TDKT - 1,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,1721,43,2.50%,-,-,2,1,4.65%,2.33%,46168.83,92337.66,3,2,507471,333572,92338,5.50,3.61,18.20%,27.68%,-,-,-,0,0
6,Nước hoa 10ml,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/01/2026 00:00:00,Không giới hạn,1374,38,2.77%,-,-,6,5,15.79%,13.16%,12496.92,14996.30,10,7,426892,296379,74982,5.69,3.95,17.56%,25.30%,-,-,-,0,0
7,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,1220,33,2.70%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,82724,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nến 100g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,1152,41,3.56%,-,-,2,2,4.88%,4.88%,29844.34,29844.34,2,2,140000,140000,59689,2.35,2.35,42.63%,42.63%,-,-,-,0,0
9,Nến 50g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,681,13,1.91%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,12854,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nến Thơm Top,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/05/2026 00:00:00,Không giới hạn,673,29,4.31%,-,-,3,3,10.34%,10.34%,19077.24,19077.24,3,3,409250,409250,57232,7.15,7.15,13.98%,13.98%,-,-,-,0,0
