Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,15/08/2026 08:16
Khoảng thời gian,14/08/2026 - 14/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,NẾN TOP 1 - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2193,73,3.33%,-,-,6,5,8.22%,6.85%,57248.23,68697.88,7,6,1724240,1492240,343489,5.02,4.34,19.92%,23.02%,-,-,-,0,0
2,TDKT - Other 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/06/2026 00:00:00,Không giới hạn,2048,37,1.81%,-,-,2,2,5.41%,5.41%,70679.59,70679.59,3,3,825000,825000,141359,5.84,5.84,17.13%,17.13%,-,-,-,0,0
3,Nước Hoa Nam - 12.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,1072,26,2.43%,-,-,1,1,3.85%,3.85%,57559.61,57559.61,1,1,205000,205000,57560,3.56,3.56,28.08%,28.08%,-,-,-,45427,205000
4,Nước Hoa Nữ - 12.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,1063,26,2.45%,-,-,1,1,3.85%,3.85%,52441.09,52441.09,1,1,184500,184500,52441,3.52,3.52,28.42%,28.42%,-,-,-,0,0
5,Nến Thơm TOP 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,78,1,1.28%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,527,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Nước Hoa All,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,3,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [106]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,11/08/2026 00:00:00,Không giới hạn,2932,71,2.42%,11,15.49%,5,5,7.04%,7.04%,69848.31,69848.31,6,6,1805259,1805259,349242,5.17,5.17,19.35%,19.35%,-,-,-,0,0
8,"[HOT DEAL 10ml 39K - 100ml 149K] Nước Hoa Tóc Aroma Story Giúp Thơm Mượt Tóc, Tránh Bết, Khử Mùi, Size 10ml/100ml [20]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23623269794,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,26/03/2026 00:00:00,Không giới hạn,1215,54,4.44%,5,9.26%,4,3,7.41%,5.56%,9763.04,13017.39,5,4,195000,156000,39052,4.99,3.99,20.03%,25.03%,-,-,-,0,0
9,"Xịt Thơm Phòng, Quấn Áo Trà Trắng & Sung Aroma Story, Nước Hoa Xịt Thơm Size 200ml [9]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,22945218685,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,422,5,1.18%,0,0.00%,1,1,20.00%,20.00%,21458.65,21458.65,2,2,195408,195408,21459,9.11,9.11,10.98%,10.98%,-,-,-,0,0
10,"Xịt Thơm Phòng, Quần Áo Aroma Story Giúp Khử Mùi, Làm Thơm Không Gian Nhiều Hương Size  200ml [18]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,17283386401,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,327,6,1.83%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,11679,0.00,0.00,0.00%,0.00%,-,-,-,0,0
