Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,05/07/2026 15:59
Khoảng thời gian,27/06/2026 - 27/06/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,TDKT - Other 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/06/2026 00:00:00,Không giới hạn,1885,36,1.91%,-,-,1,1,2.78%,2.78%,119613.65,119613.65,2,2,551824,551824,119614,4.61,4.61,21.68%,21.68%,-,-,-,0,0
2,Set Quà Other 01,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/12/2025 00:00:00,Không giới hạn,1257,38,3.02%,-,-,4,2,10.53%,5.26%,25825.56,51651.13,4,2,519308,436446,103302,5.03,4.22,19.89%,23.67%,-,-,-,93812,220000
3,Nến Other,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,25/09/2025 00:00:00,Không giới hạn,1222,29,2.37%,-,-,2,2,6.90%,6.90%,47383.58,47383.58,2,2,537040,537040,94767,5.67,5.67,17.65%,17.65%,-,-,-,0,0
4,Nước Hoa All,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,504,8,1.59%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,23496,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,Nến Thơm - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,399,7,1.75%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10808,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Nước hoa 10ml,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/01/2026 00:00:00,Không giới hạn,2,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [100]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,22/06/2026 00:00:00,Không giới hạn,5730,115,2.01%,20,17.39%,11,11,9.57%,9.57%,51133.33,51133.33,14,14,2891030,2891030,562467,5.14,5.14,19.46%,19.46%,-,-,-,90097,611646
8,"Nến Thơm Quà Tặng Cao Cấp, Tự Nhiên Aroma Story Giúp Thư Giãn, Dễ Ngủ Với Nhiều Hương, Size Đa Dạng [84]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,12853667421,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,18/06/2026 00:00:00,Không giới hạn,4733,119,2.51%,24,20.17%,12,11,10.08%,9.24%,58333.33,63636.36,16,14,3323930,3088730,700000,4.75,4.41,21.06%,22.66%,-,-,-,71402,295000
9,"Nến Thơm Thủy Tinh Cao Cấp, Tự Nhiên Giúp Dễ Ngủ, Thư Giãn Aroma Story Nhiều Hương Size 50g/100g [23]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,19817897603,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/06/2026 00:00:00,Không giới hạn,1325,37,2.79%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,27106,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,"[HOT] Set Quà Tặng Nến Thơm Aroma Story Dành Tặng Người Yêu, Sinh Nhật, Kỷ Niệm [51]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,24985987515,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,23/06/2026 00:00:00,Không giới hạn,1085,24,2.21%,2,8.33%,2,2,8.33%,8.33%,20815.73,20815.73,2,2,196000,196000,41631,4.71,4.71,21.24%,21.24%,-,-,-,44400,196000
