Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,25/09/2026 13:15
Khoảng thời gian,24/09/2026 - 24/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,NẾN TOP 1 - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,3804,156,4.10%,-,-,19,19,12.18%,12.18%,41642.37,41642.37,21,21,4330321,4330321,791205,5.47,5.47,18.27%,18.27%,-,-,-,0,0
2,TDKT - Other 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/06/2026 00:00:00,Không giới hạn,1304,33,2.53%,-,-,6,5,18.18%,15.15%,58333.33,70000.00,8,7,1617000,1404952,350000,4.62,4.01,21.65%,24.91%,-,-,-,0,0
3,Nến Thơm TOP 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,1035,34,3.29%,-,-,3,2,8.82%,5.88%,55390.98,83086.47,3,2,746597,407000,166173,4.49,2.45,22.26%,40.83%,-,-,-,21292,300000
4,Nước Hoa Nam - 12.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,470,9,1.91%,-,-,1,1,11.11%,11.11%,90543.20,90543.20,2,2,369000,369000,90543,4.08,4.08,24.54%,24.54%,-,-,-,0,0
5,Nước Hoa Nữ - 12.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,330,7,2.12%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5496,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [107]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,18/08/2026 00:00:00,Không giới hạn,2352,49,2.08%,5,10.20%,9,8,18.37%,16.33%,38534.83,43351.68,9,8,1628272,1610546,346813,4.69,4.64,21.30%,21.53%,-,-,-,0,0
7,"[HOT DEAL 10ml 39K - 100ml 149K] Nước Hoa Tóc Aroma Story Giúp Thơm Mượt Tóc, Tránh Bết, Khử Mùi, Size 10ml/100ml [20]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23623269794,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,26/03/2026 00:00:00,Không giới hạn,676,26,3.85%,4,15.38%,2,2,7.69%,7.69%,14668.15,14668.15,3,3,141066,141066,29336,4.81,4.81,20.80%,20.80%,-,-,-,8671,71066
8,"Xịt Thơm Phòng, Quần Áo Aroma Story Giúp Khử Mùi, Làm Thơm Không Gian Nhiều Hương Size  200ml [18]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,17283386401,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,361,5,1.39%,0,0.00%,2,1,40.00%,20.00%,23210.78,46421.57,2,1,204691,99000,46422,4.41,2.13,22.68%,46.89%,-,-,-,0,0
9,"Xịt Thơm Phòng, Quấn Áo Trà Trắng & Sung Aroma Story, Nước Hoa Xịt Thơm Size 200ml [9]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,22945218685,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,255,4,1.57%,2,50.00%,1,1,25.00%,25.00%,24240.54,24240.54,1,1,115000,115000,24241,4.74,4.74,21.08%,21.08%,-,-,-,0,0
10,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [104]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,05/08/2026 00:00:00,Không giới hạn,4,0,0.00%,0,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
