Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,27/07/2026 08:36
Khoảng thời gian,25/07/2026 - 25/07/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,TDKT - Other 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/06/2026 00:00:00,Không giới hạn,2389,50,2.09%,-,-,4,4,8.00%,8.00%,98350.10,98350.10,5,5,1780825,1780825,393400,4.53,4.53,22.09%,22.09%,-,-,-,44529,155000
2,NẾN TOP 1 - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,1863,54,2.90%,-,-,8,5,14.81%,9.26%,25000.00,40000.00,11,7,1302096,1192172,200000,6.51,5.96,15.36%,16.78%,-,-,-,0,0
3,Nến Thơm TOP 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,732,15,2.05%,-,-,2,2,13.33%,13.33%,19972.24,19972.24,2,2,122000,122000,39944,3.05,3.05,32.74%,32.74%,-,-,-,0,0
4,Nước Hoa All,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,518,10,1.93%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10518,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,Nến Thơm Others,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,195,5,2.56%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2485,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,"Nến Đế, Túi, Thiệp",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,162,2,1.23%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5854,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,Nến Thơm TOP 1,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,10,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [102]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,16/07/2026 00:00:00,Không giới hạn,3382,90,2.66%,9,10.00%,7,6,7.78%,6.67%,49144.31,57335.03,7,6,1411508,1306021,344010,4.10,3.80,24.37%,26.34%,-,-,-,0,0
9,"Xịt Thơm Phòng, Quần Áo Aroma Story Giúp Khử Mùi, Làm Thơm Không Gian Nhiều Hương Size  200ml [18]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,17283386401,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,2082,49,2.35%,5,10.20%,6,6,12.24%,12.24%,35641.66,35641.66,11,11,882224,882224,213850,4.13,4.13,24.24%,24.24%,-,-,-,0,0
10,"Xịt Thơm Phòng, Quấn Áo Trà Trắng & Sung Aroma Story, Nước Hoa Xịt Thơm Size 200ml [9]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,22945218685,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,578,9,1.56%,1,11.11%,1,1,11.11%,11.11%,81103.18,81103.18,6,6,471960,471960,81103,5.82,5.82,17.18%,17.18%,-,-,-,0,0
