Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,23/07/2026 08:27
Khoảng thời gian,22/07/2026 - 22/07/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,04/05/2026 00:00:00,Không giới hạn,8373,253,3.02%,-,-,21,18,8.30%,7.11%,42425.13,49495.98,31,27,5010300,4674300,890928,5.62,5.25,17.78%,19.06%,-,-,-,181416,1075000
2,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,6961,250,3.59%,-,-,12,10,4.80%,4.00%,25962.02,31154.42,12,10,1760580,1498580,311544,5.65,4.81,17.70%,20.79%,-,-,-,131077,851000
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,4844,126,2.60%,-,-,8,6,6.35%,4.76%,52085.53,69447.37,11,7,1715000,945000,416684,4.12,2.27,24.30%,44.09%,-,-,-,28496,250000
4,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,1469,27,1.84%,-,-,2,2,7.41%,7.41%,50223.09,50223.09,5,5,346280,346280,100446,3.45,3.45,29.01%,29.01%,-,-,-,0,0
5,SET QUÀ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,749,19,2.54%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6027,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Nước Hoa,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,714,9,1.26%,-,-,1,1,11.11%,11.11%,62414.91,62414.91,1,1,153750,153750,62415,2.46,2.46,40.60%,40.60%,-,-,-,0,0
7,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,245,4,1.63%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8256,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,215,11,5.12%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6998,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [4]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2026 00:00:00,Không giới hạn,6813,140,2.05%,9,6.43%,9,9,6.43%,6.43%,33333.33,33333.33,9,9,1788000,1788000,300000,5.96,5.96,16.78%,16.78%,-,-,-,192459,995000
10,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,481,7,1.46%,3,42.86%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,17856,0.00,0.00,0.00%,0.00%,-,-,-,0,0
