Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:09
Khoảng thời gian,30/08/2026 - 30/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,8207,233,2.84%,-,-,6,4,2.58%,1.72%,52914.69,79372.03,18,16,1704460,1677020,317488,5.37,5.28,18.63%,18.93%,-,-,-,11981,99000
2,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,5224,156,2.99%,-,-,12,10,7.69%,6.41%,39540.40,47448.48,13,11,2865300,2614607,474485,6.04,5.51,16.56%,18.15%,-,-,-,0,0
3,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,1717,69,4.02%,-,-,1,1,1.45%,1.45%,25751.02,25751.02,1,1,125000,125000,25751,4.85,4.85,20.60%,20.60%,-,-,-,0,0
4,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,680,25,3.68%,-,-,3,3,12.00%,12.00%,46958.27,46958.27,3,3,871200,871200,140875,6.18,6.18,16.17%,16.17%,-,-,-,0,0
5,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,382,15,3.93%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2978,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,292,6,2.05%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2773,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,201,6,2.99%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3737,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,153,1,0.65%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1911,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,153,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1135,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,85,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,919,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,7738,144,1.86%,17,11.81%,11,10,7.64%,6.94%,43332.09,47665.30,15,10,2462040,1982040,476653,5.17,4.16,19.36%,24.05%,-,-,-,106991,796000
12,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [41],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,19/08/2026 00:00:00,Không giới hạn,1842,45,2.44%,3,6.67%,7,6,15.56%,13.33%,50781.72,59245.34,7,6,1808300,1668717,355472,5.09,4.69,19.66%,21.30%,-,-,-,0,0
13,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,1000,18,1.80%,3,16.67%,1,1,5.56%,5.56%,28348.32,28348.32,2,2,128000,128000,28348,4.52,4.52,22.15%,22.15%,-,-,-,6413,128000
14,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [27],Đã dừng,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,04/04/2026 00:00:00,02/06/2026 11:44:52,2,0,0.00%,0,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
