Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,05/07/2026 16:27
Khoảng thời gian,25/05/2026 - 25/05/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,04/05/2026 00:00:00,Không giới hạn,1497,43,2.87%,-,-,1,1,2.33%,2.33%,49357.11,49357.11,1,1,175000,175000,49357,3.55,3.55,28.20%,28.20%,-,-,-,18424,175000
2,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,925,15,1.62%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10457,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,209,8,3.83%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,627,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Set Quà Other,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/05/2026 00:00:00,Không giới hạn,4936,166,3.36%,-,-,4,3,2.41%,1.81%,47695.63,63594.17,7,4,965210,592730,190783,5.06,3.11,19.77%,32.19%,-,-,-,0,0
5,Nến Top,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,10/05/2026 00:00:00,Không giới hạn,2372,101,4.26%,-,-,9,8,8.91%,7.92%,61953.30,69697.46,9,8,2898940,2739200,557580,5.20,4.91,19.23%,20.36%,-,-,-,181256,1420000
6,XP All,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,02/04/2026 00:00:00,Không giới hạn,813,11,1.35%,-,-,2,2,18.18%,18.18%,23573.10,23573.10,2,2,158000,158000,47146,3.35,3.35,29.84%,29.84%,-,-,-,0,0
7,TDKT Other,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,04/05/2026 00:00:00,Không giới hạn,305,7,2.30%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10955,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Tinh dầu 10ml - 3,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,274,4,1.46%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4665,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,XTP - 1,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,207,3,1.45%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3611,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,XTP - 2,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,59,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
