Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:09
Khoảng thời gian,28/08/2026 - 28/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1963,28,1.43%,-,-,1,1,3.57%,3.57%,59031.29,59031.29,1,1,289100,289100,59031,4.90,4.90,20.42%,20.42%,-,-,-,0,0
2,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,1867,48,2.57%,-,-,2,1,4.17%,2.08%,71620.47,143240.93,2,1,452300,377300,143241,3.16,2.63,31.67%,37.96%,-,-,-,0,0
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1793,44,2.45%,-,-,2,2,4.55%,4.55%,65170.15,65170.15,2,2,390000,390000,130340,2.99,2.99,33.42%,33.42%,-,-,-,48110,195000
4,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,1772,68,3.84%,-,-,2,0,2.94%,0.00%,67598.52,0.00,2,0,637000,0,135197,4.71,0.00,21.22%,0.00%,-,-,-,0,0
5,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,1559,73,4.68%,-,-,1,0,1.37%,0.00%,41490.50,0.00,1,0,150000,0,41490,3.62,0.00,27.66%,0.00%,-,-,-,0,0
6,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,433,13,3.00%,-,-,1,1,7.69%,7.69%,18852.66,18852.66,1,1,106820,106820,18853,5.67,5.67,17.65%,17.65%,-,-,-,0,0
7,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,308,13,4.22%,-,-,1,0,7.69%,0.00%,15622.92,0.00,1,0,77420,0,15623,4.96,0.00,20.18%,0.00%,-,-,-,0,0
8,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,278,3,1.08%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3230,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,267,5,1.87%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3571,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,243,4,1.65%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4771,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,Nến 50g - 100g 27.8,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,27/08/2026 00:00:00,Không giới hạn,1227,41,3.34%,-,-,4,4,9.76%,9.76%,25396.58,25396.58,5,5,332400,332400,101586,3.27,3.27,30.56%,30.56%,-,-,-,20594,140000
12,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,11,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
13,"Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [41]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,19/08/2026 00:00:00,Không giới hạn,2999,101,3.37%,15,14.85%,10,10,9.90%,9.90%,60000.00,60000.00,14,14,3228800,3228800,600000,5.38,5.38,18.58%,18.58%,-,-,-,42213,540000
14,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,2348,42,1.79%,1,2.38%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,61387,0.00,0.00,0.00%,0.00%,-,-,-,0,0
15,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,2092,62,2.96%,10,16.13%,8,4,12.90%,6.45%,23319.13,46638.26,9,5,882880,479060,186553,4.73,2.57,21.13%,38.94%,-,-,-,10661,109000
