Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:14
Khoảng thời gian,05/09/2026 - 05/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,8339,291,3.49%,-,-,12,10,4.12%,3.44%,46342.90,55611.48,21,19,2660000,2265000,556115,4.78,4.07,20.91%,24.55%,-,-,-,190558,931000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,6211,260,4.19%,-,-,17,17,6.54%,6.54%,33523.39,33523.39,36,36,2768800,2768800,569898,4.86,4.86,20.58%,20.58%,-,-,-,161230,1034000
3,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,1486,43,2.89%,-,-,3,3,6.98%,6.98%,33467.93,33467.93,3,3,569900,569900,100404,5.68,5.68,17.62%,17.62%,-,-,-,0,0
4,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1340,38,2.84%,-,-,6,6,15.79%,15.79%,43197.65,43197.65,8,8,1420000,1420000,259186,5.48,5.48,18.25%,18.25%,-,-,-,19701,710000
5,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,1186,40,3.37%,-,-,1,1,2.50%,2.50%,60562.15,60562.15,1,1,289100,289100,60562,4.77,4.77,20.95%,20.95%,-,-,-,0,0
6,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,1163,30,2.58%,-,-,3,3,10.00%,10.00%,25819.31,25819.31,3,3,345000,345000,77458,4.45,4.45,22.45%,22.45%,-,-,-,25836,115000
7,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,894,16,1.79%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,21713,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,660,22,3.33%,-,-,1,1,4.55%,4.55%,42618.08,42618.08,1,1,265500,265500,42618,6.23,6.23,16.05%,16.05%,-,-,-,0,0
9,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,200,1,0.50%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,642,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,141,4,2.84%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,835,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,4471,96,2.15%,12,12.50%,6,6,6.25%,6.25%,44707.94,44707.94,7,7,1385040,1385040,268248,5.16,5.16,19.37%,19.37%,-,-,-,25051,109000
12,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [41],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,19/08/2026 00:00:00,Không giới hạn,2728,79,2.90%,10,12.66%,7,7,8.86%,8.86%,43930.30,43930.30,11,11,1578600,1578600,307512,5.13,5.13,19.48%,19.48%,-,-,-,27427,890000
13,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,1009,30,2.97%,8,26.67%,2,2,6.67%,6.67%,27109.42,27109.42,3,3,267000,267000,54219,4.92,4.92,20.31%,20.31%,-,-,-,10743,109000
