Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,21/09/2026 17:19
Khoảng thời gian,17/09/2026 - 17/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,3293,141,4.28%,-,-,3,3,2.13%,2.13%,30233.31,30233.31,3,3,405000,405000,90700,4.47,4.47,22.40%,22.40%,-,-,-,27312,199000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2798,103,3.68%,-,-,6,6,5.83%,5.83%,26131.73,26131.73,11,11,769900,769900,156790,4.91,4.91,20.37%,20.37%,-,-,-,27462,364000
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,2540,89,3.50%,-,-,6,5,6.74%,5.62%,44687.52,53625.02,11,5,1177160,1068100,268125,4.39,3.98,22.78%,25.10%,-,-,-,5853,195000
4,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,857,28,3.27%,-,-,5,5,17.86%,17.86%,35915.57,35915.57,5,5,959400,959400,179578,5.34,5.34,18.72%,18.72%,-,-,-,0,0
5,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,800,11,1.38%,-,-,2,2,18.18%,18.18%,17742.91,17742.91,2,2,369000,369000,35486,10.40,10.40,9.62%,9.62%,-,-,-,0,0
6,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,797,12,1.51%,-,-,3,2,25.00%,16.67%,20304.10,30456.15,3,2,273000,198000,60912,4.48,3.25,22.31%,30.76%,-,-,-,25956,224000
7,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,485,9,1.86%,-,-,1,1,11.11%,11.11%,16261.17,16261.17,1,1,79000,79000,16261,4.86,4.86,20.58%,20.58%,-,-,-,0,0
8,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,154,2,1.30%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,123,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,SET QUÀ - 18.08,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1627,37,2.27%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,26279,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nến 200g - 8.8,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,1453,50,3.44%,-,-,1,1,2.00%,2.00%,88036.31,88036.31,1,1,325000,325000,88036,3.69,3.69,27.09%,27.09%,-,-,-,31030,325000
