Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:17
Khoảng thời gian,08/09/2026 - 08/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,10786,327,3.03%,-,-,10,10,3.06%,3.06%,55496.02,55496.02,20,20,2500760,2500760,554960,4.51,4.51,22.19%,22.19%,-,-,-,97601,621000
2,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,5342,154,2.88%,-,-,14,13,9.09%,8.44%,46428.57,50000.00,15,13,4101200,3961200,650000,6.31,6.09,15.85%,16.41%,-,-,-,59269,650000
3,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2244,69,3.07%,-,-,3,2,4.35%,2.90%,16034.39,24051.59,4,3,209000,195000,48103,4.34,4.05,23.02%,24.67%,-,-,-,27659,266000
4,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1591,43,2.70%,-,-,3,1,6.98%,2.33%,54433.70,163301.11,5,1,841000,267872,163301,5.15,1.64,19.42%,60.96%,-,-,-,0,0
5,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,823,20,2.43%,-,-,2,2,10.00%,10.00%,37980.99,37980.99,2,2,369000,369000,75962,4.86,4.86,20.59%,20.59%,-,-,-,0,0
6,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,422,14,3.32%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6479,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,397,5,1.26%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10617,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,374,12,3.21%,-,-,1,1,8.33%,8.33%,19250.76,19250.76,1,1,79000,79000,19251,4.10,4.10,24.37%,24.37%,-,-,-,0,0
9,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,297,9,3.03%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1621,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,220,5,2.27%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4355,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [41],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,19/08/2026 00:00:00,Không giới hạn,5170,173,3.35%,27,15.61%,13,13,7.51%,7.51%,47160.61,47160.61,15,15,3010000,3010000,613088,4.91,4.91,20.37%,20.37%,-,-,-,124826,1860000
12,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,5159,115,2.23%,8,6.96%,1,1,0.87%,0.87%,93630.43,93630.43,1,1,199000,199000,93630,2.13,2.13,47.05%,47.05%,-,-,-,0,0
13,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,2306,78,3.38%,29,37.18%,14,13,17.95%,16.67%,21428.57,23076.92,28,25,2200140,1907640,300000,7.33,6.36,13.64%,15.73%,-,-,-,50648,632000
