Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:19
Khoảng thời gian,12/09/2026 - 12/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,4134,139,3.36%,-,-,7,5,5.04%,3.60%,58063.61,81289.05,9,7,2025300,1791068,406445,4.98,4.41,20.07%,22.69%,-,-,-,0,0
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,3741,184,4.92%,-,-,11,10,5.98%,5.43%,18361.23,20197.35,18,17,1236000,1222000,201974,6.12,6.05,16.34%,16.53%,-,-,-,36910,465000
3,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,3365,138,4.10%,-,-,4,3,2.90%,2.17%,26649.49,35532.65,4,3,439480,425760,106598,4.12,3.99,24.26%,25.04%,-,-,-,0,0
4,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,2131,47,2.21%,-,-,3,3,6.38%,6.38%,49021.89,49021.89,3,3,515000,515000,147066,3.50,3.50,28.56%,28.56%,-,-,-,46536,320000
5,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,1101,34,3.09%,-,-,2,2,5.88%,5.88%,24761.29,24761.29,3,3,237000,237000,49523,4.79,4.79,20.90%,20.90%,-,-,-,0,0
6,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,433,11,2.54%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2833,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,410,5,1.22%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5258,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,316,2,0.63%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4351,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,238,7,2.94%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4479,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,179,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1426,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,Đế Túi Thiệp - 18.08,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,4,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
12,Đế Túi Thiệp - 10.09,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,10/09/2026 00:00:00,Không giới hạn,3,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
13,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,14453,285,1.97%,17,5.96%,15,15,5.26%,5.26%,37358.79,37358.79,15,15,2977040,2977040,560382,5.31,5.31,18.82%,18.82%,-,-,-,322365,1592000
14,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [41],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,19/08/2026 00:00:00,Không giới hạn,4448,148,3.33%,20,13.51%,17,17,11.49%,11.49%,43803.74,43803.74,20,20,3687800,3687800,744664,4.95,4.95,20.19%,20.19%,-,-,-,28732,135000
15,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,2714,89,3.28%,34,38.20%,18,14,20.22%,15.73%,18556.34,23858.15,21,17,1671680,1277660,334014,5.00,3.83,19.98%,26.14%,-,-,-,5326,49000
