Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,28/08/2026 09:49
Khoảng thời gian,16/08/2026 - 16/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,6126,202,3.30%,-,-,10,7,4.95%,3.47%,30989.87,44271.24,11,8,1613520,1152520,309899,5.21,3.72,19.21%,26.89%,-,-,-,99728,638000
2,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,762,16,2.10%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,40638,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,583,17,2.92%,-,-,2,0,11.76%,0.00%,14138.36,0.00,3,0,163000,0,28277,5.76,0.00,17.35%,0.00%,-,-,-,0,0
4,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,359,9,2.51%,-,-,1,1,11.11%,11.11%,16543.86,16543.86,2,2,138000,138000,16544,8.34,8.34,11.99%,11.99%,-,-,-,13299,138000
5,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,342,10,2.92%,-,-,2,1,20.00%,10.00%,17465.96,34931.91,2,1,466400,200900,34932,13.35,5.75,7.49%,17.39%,-,-,-,0,0
6,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,200,9,4.50%,-,-,1,0,11.11%,0.00%,12413.64,0.00,1,0,49000,0,12414,3.95,0.00,25.33%,0.00%,-,-,-,10293,49000
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,186,5,2.69%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,514,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nến 50 - 100g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,3626,158,4.36%,-,-,8,7,5.06%,4.43%,18026.42,20601.63,10,9,728000,663000,144211,5.05,4.60,19.81%,21.75%,-,-,-,111262,493000
9,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,1073,30,2.80%,-,-,2,1,6.67%,3.33%,30921.59,61843.18,2,1,307000,293000,61843,4.96,4.74,20.14%,21.11%,-,-,-,0,0
10,SET QUÀ - V1,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,28/07/2026 00:00:00,Không giới hạn,1003,23,2.29%,-,-,1,1,4.35%,4.35%,18931.88,18931.88,1,1,109000,109000,18932,5.76,5.76,17.37%,17.37%,-,-,-,23723,109000
11,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,4321,88,2.04%,10,11.36%,6,5,6.82%,5.68%,41666.67,50000.00,7,6,1293000,1194000,250000,5.17,4.78,19.33%,20.94%,-,-,-,36066,398000
12,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,1027,30,2.92%,7,23.33%,2,2,6.67%,6.67%,27581.13,27581.13,3,3,237000,237000,55162,4.30,4.30,23.28%,23.28%,-,-,-,10293,128000
13,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [40],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,4207,118,2.80%,20,16.95%,11,10,9.32%,8.47%,28109.92,30920.91,12,10,1942500,1814500,309209,6.28,5.87,15.92%,17.04%,-,-,-,113916,710000
14,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [4]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2026 00:00:00,Không giới hạn,2,0,0.00%,0,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
