Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:13
Khoảng thời gian,01/09/2026 - 01/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,5689,153,2.69%,-,-,9,7,5.88%,4.58%,34646.92,44546.03,10,8,1568760,1162000,311822,5.03,3.73,19.88%,26.83%,-,-,-,79816,523000
2,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,5020,125,2.49%,-,-,14,10,11.20%,8.00%,39285.71,55000.00,17,12,4007558,3278260,550000,7.29,5.96,13.72%,16.78%,-,-,-,180211,1125000
3,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2566,88,3.43%,-,-,5,2,5.68%,2.27%,24042.53,60106.33,6,2,548462,131902,120213,4.56,1.10,21.92%,91.14%,-,-,-,64418,325000
4,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,2215,35,1.58%,-,-,2,2,5.71%,5.71%,24716.95,24716.95,2,2,224000,224000,49434,4.53,4.53,22.07%,22.07%,-,-,-,46616,224000
5,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1564,51,3.26%,-,-,4,3,7.84%,5.88%,46597.90,62130.53,5,4,976100,852100,186392,5.24,4.57,19.10%,21.87%,-,-,-,57974,514000
6,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,1248,24,1.92%,-,-,5,3,20.83%,12.50%,23088.83,38481.39,8,3,532900,267000,115444,4.62,2.31,21.66%,43.24%,-,-,-,0,0
7,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,551,15,2.72%,-,-,1,0,6.67%,0.00%,46776.46,0.00,3,0,261660,0,46776,5.59,0.00,17.88%,0.00%,-,-,-,0,0
8,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,452,7,1.55%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,11798,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,348,15,4.31%,-,-,1,0,6.67%,0.00%,13708.02,0.00,1,0,63000,0,13708,4.60,0.00,21.76%,0.00%,-,-,-,0,0
10,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,73,1,1.37%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1401,0.00,0.00,0.00%,0.00%,-,-,-,0,0
