Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,28/08/2026 09:49
Khoảng thời gian,17/08/2026 - 17/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,6253,195,3.12%,-,-,8,8,4.10%,4.10%,33294.10,33294.10,8,8,1348880,1348880,266353,5.06,5.06,19.75%,19.75%,-,-,-,65842,498000
2,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,946,21,2.22%,-,-,3,2,14.29%,9.52%,23377.94,35066.92,3,2,345000,230000,70134,4.92,3.28,20.33%,30.49%,-,-,-,14636,115000
3,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,785,19,2.42%,-,-,1,1,5.26%,5.26%,31982.11,31982.11,1,1,184500,184500,31982,5.77,5.77,17.33%,17.33%,-,-,-,0,0
4,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,682,21,3.08%,-,-,2,2,9.52%,9.52%,37197.05,37197.05,2,2,369000,369000,74394,4.96,4.96,20.16%,20.16%,-,-,-,0,0
5,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,293,4,1.37%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,11660,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,290,11,3.79%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4021,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,97,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,633,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nến 50 - 100g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2688,87,3.24%,-,-,5,3,5.75%,3.45%,18202.39,30337.32,7,5,441720,303220,91012,4.85,3.33,20.60%,30.02%,-,-,-,63608,393000
9,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,915,29,3.17%,-,-,1,1,3.45%,3.45%,53642.43,53642.43,1,1,289100,289100,53642,5.39,5.39,18.55%,18.55%,-,-,-,0,0
10,SET QUÀ - V1,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,28/07/2026 00:00:00,Không giới hạn,395,4,1.01%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1929,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,1433,42,2.93%,7,16.67%,3,3,7.14%,7.14%,19215.19,19215.19,4,4,264420,264420,57646,4.59,4.59,21.80%,21.80%,-,-,-,0,0
12,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,941,28,2.98%,6,21.43%,1,1,3.57%,3.57%,62193.97,62193.97,1,1,199000,199000,62194,3.20,3.20,31.25%,31.25%,-,-,-,0,0
13,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [40],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,2614,95,3.63%,11,11.58%,12,10,12.63%,10.53%,30932.60,37119.13,15,13,2096500,2022726,371191,5.65,5.45,17.71%,18.35%,-,-,-,28450,125000
