Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:14
Khoảng thời gian,02/09/2026 - 02/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,3147,125,3.97%,-,-,12,11,9.60%,8.80%,20833.33,22727.27,14,13,1290800,1095800,250000,5.16,4.38,19.37%,22.81%,-,-,-,39236,260000
2,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,2580,49,1.90%,-,-,2,0,4.08%,0.00%,37866.86,0.00,8,0,348880,0,75734,4.61,0.00,21.71%,0.00%,-,-,-,0,0
3,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,2354,65,2.76%,-,-,1,1,1.54%,1.54%,194016.96,194016.96,1,1,195000,195000,194017,1.01,1.01,99.50%,99.50%,-,-,-,0,0
4,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,2014,77,3.82%,-,-,1,1,1.30%,1.30%,46379.07,46379.07,1,1,109000,109000,46379,2.35,2.35,42.55%,42.55%,-,-,-,25003,109000
5,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1441,33,2.29%,-,-,3,2,9.09%,6.06%,39127.44,58691.16,4,3,570000,375000,117382,4.86,3.19,20.59%,31.30%,-,-,-,28987,250000
6,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,951,23,2.42%,-,-,1,1,4.35%,4.35%,33923.86,33923.86,1,1,205000,205000,33924,6.04,6.04,16.55%,16.55%,-,-,-,54006,205000
7,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,740,26,3.51%,-,-,1,1,3.85%,3.85%,66417.60,66417.60,1,1,265500,265500,66418,4.00,4.00,25.02%,25.02%,-,-,-,0,0
8,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,270,10,3.70%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2012,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,184,2,1.09%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2737,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,166,4,2.41%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3374,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,4274,82,1.92%,5,6.10%,3,3,3.66%,3.66%,43050.85,43050.85,3,3,594000,594000,129153,4.60,4.60,21.74%,21.74%,-,-,-,0,0
12,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [41],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,19/08/2026 00:00:00,Không giới hạn,2009,86,4.28%,17,19.77%,7,7,8.14%,8.14%,44926.62,44926.62,8,8,1490000,1490000,314486,4.74,4.74,21.11%,21.11%,-,-,-,60470,905000
13,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,1014,23,2.27%,6,26.09%,2,2,8.70%,8.70%,16881.56,16881.56,2,2,158000,158000,33763,4.68,4.68,21.37%,21.37%,-,-,-,0,0
