Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:09
Khoảng thời gian,29/08/2026 - 29/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,4640,185,3.99%,-,-,5,5,2.70%,2.70%,31546.67,31546.67,5,5,853000,853000,157733,5.41,5.41,18.49%,18.49%,-,-,-,26957,546000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,1951,82,4.20%,-,-,3,2,3.66%,2.44%,24558.10,36837.15,4,3,272000,207000,73674,3.69,2.81,27.09%,35.59%,-,-,-,11926,124000
3,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1663,16,0.96%,-,-,2,2,12.50%,12.50%,22437.01,22437.01,2,2,230000,230000,44874,5.13,5.13,19.51%,19.51%,-,-,-,13948,115000
4,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,842,20,2.38%,-,-,1,1,5.00%,5.00%,39097.32,39097.32,1,1,195000,195000,39097,4.99,4.99,20.05%,20.05%,-,-,-,0,0
5,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,778,17,2.19%,-,-,2,2,11.76%,11.76%,18423.75,18423.75,2,2,174000,174000,36847,4.72,4.72,21.18%,21.18%,-,-,-,0,0
6,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,700,31,4.43%,-,-,1,0,3.23%,0.00%,26040.01,0.00,2,0,124000,0,26040,4.76,0.00,21.00%,0.00%,-,-,-,0,0
7,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,279,10,3.58%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6918,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,251,9,3.59%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,9227,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,193,2,1.04%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1697,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,154,3,1.95%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1790,0.00,0.00,0.00%,0.00%,-,-,-,0,0
