Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,28/08/2026 09:46
Khoảng thời gian,24/08/2026 - 24/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,3988,132,3.31%,-,-,5,5,3.79%,3.79%,30533.44,30533.44,6,6,692000,692000,152667,4.53,4.53,22.06%,22.06%,-,-,-,70169,298000
2,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1597,26,1.63%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,27700,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1184,38,3.21%,-,-,5,5,13.16%,13.16%,33531.21,33531.21,5,5,835000,835000,167656,4.98,4.98,20.08%,20.08%,-,-,-,18518,250000
4,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,606,28,4.62%,-,-,2,2,7.14%,7.14%,29219.94,29219.94,3,3,292640,292640,58440,5.01,5.01,19.97%,19.97%,-,-,-,0,0
5,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,406,14,3.45%,-,-,1,1,7.14%,7.14%,17642.40,17642.40,1,1,79000,79000,17642,4.48,4.48,22.33%,22.33%,-,-,-,0,0
6,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,397,11,2.77%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8183,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,230,6,2.61%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1683,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,184,2,1.09%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1635,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nến 50 - 100g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2881,123,4.27%,-,-,5,5,4.07%,4.07%,17962.09,17962.09,5,5,389000,389000,89810,4.33,4.33,23.09%,23.09%,-,-,-,29806,124000
10,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2866,83,2.90%,-,-,6,4,7.23%,4.82%,47144.99,70717.48,6,4,1334020,1055700,282870,4.72,3.73,21.20%,26.79%,-,-,-,0,0
11,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,7115,139,1.95%,14,10.07%,8,8,5.76%,5.76%,42853.93,42853.93,8,8,1592000,1592000,342831,4.64,4.64,21.53%,21.53%,-,-,-,50684,398000
12,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,1171,20,1.71%,0,0.00%,1,1,5.00%,5.00%,39038.43,39038.43,1,1,109000,109000,39038,2.79,2.79,35.82%,35.82%,-,-,-,10513,109000
13,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [41],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,19/08/2026 00:00:00,Không giới hạn,802,20,2.49%,3,15.00%,2,2,10.00%,10.00%,50671.78,50671.78,2,2,533100,533100,101344,5.26,5.26,19.01%,19.01%,-,-,-,0,0
