Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,21/07/2026 08:27
Khoảng thời gian,18/07/2026 - 18/07/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,8307,258,3.11%,-,-,20,19,7.75%,7.36%,36576.43,38501.51,25,24,4472920,4459200,731529,6.11,6.10,16.35%,16.40%,-,-,-,197504,1705000
2,Nến,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,04/05/2026 00:00:00,Không giới hạn,6260,279,4.46%,-,-,15,13,5.38%,4.66%,25624.43,29566.65,19,17,2193320,1699820,384366,5.71,4.42,17.52%,22.61%,-,-,-,16907,130000
3,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,2698,95,3.52%,-,-,3,2,3.16%,2.11%,27408.65,41112.98,3,2,486360,336360,82226,5.91,4.09,16.91%,24.45%,-,-,-,42063,249000
4,SET QUÀ,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/07/2026 00:00:00,Không giới hạn,1540,33,2.14%,-,-,2,2,6.06%,6.06%,17435.58,17435.58,2,2,214000,214000,34871,6.14,6.14,16.29%,16.29%,-,-,-,23407,99000
5,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,318,5,1.57%,-,-,1,1,20.00%,20.00%,15519.54,15519.54,1,1,79000,79000,15520,5.09,5.09,19.64%,19.64%,-,-,-,17249,79000
6,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,206,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1817,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [4]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2026 00:00:00,Không giới hạn,5168,100,1.93%,9,9.00%,9,8,9.00%,8.00%,33333.33,37500.00,13,12,2433000,2358000,300000,8.11,7.86,12.33%,12.72%,-,-,-,217094,995000
8,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,1886,59,3.13%,15,25.42%,6,6,10.17%,10.17%,30094.82,30094.82,13,13,784180,784180,180569,4.34,4.34,23.03%,23.03%,-,-,-,0,0
