Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:19
Khoảng thời gian,13/09/2026 - 13/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,8929,302,3.38%,-,-,15,13,4.97%,4.30%,28779.66,33207.30,18,16,2651640,2417640,431695,6.14,5.60,16.28%,17.86%,-,-,-,92846,907000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2058,64,3.11%,-,-,1,1,1.56%,1.56%,31981.34,31981.34,1,1,63700,63700,31981,1.99,1.99,50.21%,50.21%,-,-,-,0,0
3,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,1966,53,2.70%,-,-,2,2,3.77%,3.77%,69922.36,69922.36,2,2,425300,425300,139845,3.04,3.04,32.88%,32.88%,-,-,-,0,0
4,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,1165,26,2.23%,-,-,3,2,11.54%,7.69%,26823.55,40235.33,3,2,388000,230000,80471,4.82,2.86,20.74%,34.99%,-,-,-,0,0
5,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,871,28,3.21%,-,-,1,1,3.57%,3.57%,49861.23,49861.23,1,1,109000,109000,49861,2.19,2.19,45.74%,45.74%,-,-,-,3645,109000
6,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,812,27,3.33%,-,-,2,1,7.41%,3.70%,23639.01,47278.03,2,1,254800,191100,47278,5.39,4.04,18.55%,24.74%,-,-,-,0,0
7,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,682,21,3.08%,-,-,1,1,4.76%,4.76%,35152.34,35152.34,1,1,184500,184500,35152,5.25,5.25,19.05%,19.05%,-,-,-,0,0
8,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,622,20,3.22%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5379,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,277,6,2.17%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4782,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,241,1,0.41%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2889,0.00,0.00,0.00%,0.00%,-,-,-,0,0
