Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,28/08/2026 09:45
Khoảng thời gian,23/08/2026 - 23/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,10254,315,3.07%,-,-,11,10,3.49%,3.17%,40993.35,45092.69,12,11,2413040,2214040,450927,5.35,4.91,18.69%,20.37%,-,-,-,131893,854000
2,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1424,27,1.90%,-,-,1,1,3.70%,3.70%,33831.85,33831.85,1,1,115000,115000,33832,3.40,3.40,29.42%,29.42%,-,-,-,0,0
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1280,19,1.48%,-,-,2,2,10.53%,10.53%,59034.59,59034.59,4,4,625000,625000,118069,5.29,5.29,18.89%,18.89%,-,-,-,0,0
4,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,1106,14,1.27%,-,-,1,1,7.14%,7.14%,48453.73,48453.73,1,1,200900,200900,48454,4.15,4.15,24.12%,24.12%,-,-,-,0,0
5,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,630,12,1.90%,-,-,1,1,8.33%,8.33%,41289.66,41289.66,1,1,184500,184500,41290,4.47,4.47,22.38%,22.38%,-,-,-,0,0
6,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,373,8,2.14%,-,-,1,1,12.50%,12.50%,11362.34,11362.34,1,1,59000,59000,11362,5.19,5.19,19.26%,19.26%,-,-,-,0,0
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,209,4,1.91%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,692,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,124,1,0.81%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,561,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nến 50 - 100g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,3699,133,3.60%,-,-,7,7,5.26%,5.26%,14789.13,14789.13,8,8,604000,604000,103524,5.83,5.83,17.14%,17.14%,-,-,-,56525,339000
10,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2288,75,3.28%,-,-,3,2,4.00%,2.67%,46308.65,69462.97,3,2,688500,493500,138926,4.96,3.55,20.18%,28.15%,-,-,-,0,0
