Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:19
Khoảng thời gian,11/09/2026 - 11/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,3739,123,3.29%,-,-,6,6,4.88%,4.88%,26593.58,26593.58,6,6,901720,901720,159561,5.65,5.65,17.70%,17.70%,-,-,-,0,0
2,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,3731,117,3.14%,-,-,11,8,9.40%,6.84%,75172.08,103361.61,20,17,4249980,3966600,826893,5.14,4.80,19.46%,20.85%,-,-,-,0,0
3,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,3488,114,3.27%,-,-,10,7,8.77%,6.14%,62000.00,88571.43,16,11,3892100,3154100,620000,6.28,5.09,15.93%,19.66%,-,-,-,38608,620000
4,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,1822,62,3.40%,-,-,2,2,3.23%,3.23%,16088.78,16088.78,2,2,150000,150000,32178,4.66,4.66,21.45%,21.45%,-,-,-,15725,75000
5,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,673,25,3.71%,-,-,1,1,4.00%,4.00%,40503.48,40503.48,1,1,79000,79000,40503,1.95,1.95,51.27%,51.27%,-,-,-,0,0
6,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,605,14,2.31%,-,-,1,1,7.14%,7.14%,45181.71,45181.71,1,1,205000,205000,45182,4.54,4.54,22.04%,22.04%,-,-,-,0,0
7,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,415,11,2.65%,-,-,2,1,18.18%,9.09%,19972.12,39944.25,2,1,267000,109000,39944,6.68,2.73,14.96%,36.65%,-,-,-,0,0
8,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,328,5,1.52%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5511,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,267,3,1.12%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2247,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,245,7,2.86%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3732,0.00,0.00,0.00%,0.00%,-,-,-,0,0
