Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,11/08/2026 08:12
Khoảng thời gian,09/08/2026 - 09/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,7634,247,3.24%,-,-,18,13,7.29%,5.26%,30555.56,42307.69,24,18,2697980,2230980,550000,4.91,4.06,20.39%,24.65%,-,-,-,149232,1059000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2693,95,3.53%,-,-,6,6,6.32%,6.32%,14622.53,14622.53,6,6,475000,475000,87735,5.41,5.41,18.47%,18.47%,-,-,-,85932,384000
3,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,1240,43,3.47%,-,-,2,2,4.65%,4.65%,50816.55,50816.55,3,3,585000,585000,101633,5.76,5.76,17.37%,17.37%,-,-,-,28768,390000
4,SET QUÀ - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,28/07/2026 00:00:00,Không giới hạn,1108,21,1.90%,-,-,1,1,4.76%,4.76%,22969.93,22969.93,1,1,109000,109000,22970,4.75,4.75,21.07%,21.07%,-,-,-,0,0
5,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,485,19,3.92%,-,-,2,0,10.53%,0.00%,21409.45,0.00,2,0,241000,0,42819,5.63,0.00,17.77%,0.00%,-,-,-,0,0
6,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,395,11,2.78%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,22417,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,358,6,1.68%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,9671,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước Hoa,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,131,3,2.29%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1734,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nến 200g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,8,0,0.00%,-,-,1,1,0.00%,0.00%,0.00,0.00,1,1,318500,318500,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Nến 200g - 8.8,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,1500,47,3.13%,-,-,2,2,4.26%,4.26%,65377.45,65377.45,2,2,695800,695800,130755,5.32,5.32,18.79%,18.79%,-,-,-,0,0
11,TDKT - 9.8 - 2,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/08/2026 00:00:00,Không giới hạn,1352,37,2.74%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,166618,0.00,0.00,0.00%,0.00%,-,-,-,0,0
12,TDKT OTHER - 9.8,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/08/2026 00:00:00,Không giới hạn,1007,19,1.89%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,135868,0.00,0.00,0.00%,0.00%,-,-,-,0,0
13,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [6]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,2061,43,2.09%,5,11.63%,4,3,9.30%,6.98%,24342.77,32457.03,4,3,792000,597000,97371,8.13,6.13,12.29%,16.31%,-,-,-,90680,398000
14,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [40],Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,1003,35,3.49%,3,8.57%,3,3,8.57%,8.57%,25998.52,25998.52,3,3,585000,585000,77996,7.50,7.50,13.33%,13.33%,-,-,-,85494,585000
15,"Tinh Dầu Thơm Xông Phòng Aroma Story 10ml – Hơn 20 Mùi Hương Thiên Nhiên, Thư Giãn & Dễ Ngủ [5]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,41251385985,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,456,10,2.19%,2,20.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5162,0.00,0.00,0.00%,0.00%,-,-,-,0,0
16,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [4]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2026 00:00:00,Không giới hạn,2365,38,1.61%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,76688,0.00,0.00,0.00%,0.00%,-,-,-,0,0
17,Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Nhiều Hương Size 50ml/100ml [39],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,23677628005,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,29/07/2026 00:00:00,Không giới hạn,1658,65,3.92%,7,10.77%,2,2,3.08%,3.08%,85558.56,85558.56,2,2,320000,320000,171117,1.87,1.87,53.47%,53.47%,-,-,-,28469,125000
18,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [5]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,09/08/2026 00:00:00,Không giới hạn,1137,20,1.76%,4,20.00%,1,1,5.00%,5.00%,68521.84,68521.84,1,1,199000,199000,68522,2.90,2.90,34.43%,34.43%,-,-,-,45340,199000
