Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:18
Khoảng thời gian,09/09/2026 - 09/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,8862,262,2.96%,-,-,26,21,9.92%,8.02%,25000.00,30952.38,30,25,4265860,3462200,650000,6.56,5.33,15.24%,18.77%,-,-,-,155450,1178000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,6868,347,5.05%,-,-,37,33,10.66%,9.51%,25945.95,29090.91,64,59,5237400,4717400,960000,5.46,4.91,18.33%,20.35%,-,-,-,123081,611000
3,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,3857,124,3.21%,-,-,17,11,13.71%,8.87%,42352.94,65454.55,21,12,4146120,3288400,720000,5.76,4.57,17.37%,21.90%,-,-,-,0,0
4,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,2331,68,2.92%,-,-,9,8,13.24%,11.76%,45413.15,51089.79,9,8,2088200,2039200,408718,5.11,4.99,19.57%,20.04%,-,-,-,17473,465000
5,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,1236,21,1.70%,-,-,4,2,19.05%,9.52%,18058.15,36116.30,4,2,379000,178000,72233,5.25,2.46,19.06%,40.58%,-,-,-,52594,178000
6,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,959,20,2.09%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,13843,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,782,14,1.79%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,34191,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,312,5,1.60%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4873,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,251,4,1.59%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6971,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,212,3,1.42%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1714,0.00,0.00,0.00%,0.00%,-,-,-,0,0
