Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,08/08/2026 09:33
Khoảng thời gian,07/08/2026 - 07/08/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,13723,489,3.56%,-,-,31,29,6.34%,5.93%,30769.80,32891.86,41,38,5521540,5306540,953864,5.79,5.56,17.28%,17.98%,-,-,-,380671,2745000
2,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,3553,114,3.21%,-,-,11,11,9.65%,9.65%,45164.40,45164.40,14,14,2821600,2821600,496808,5.68,5.68,17.61%,17.61%,-,-,-,114468,710000
3,SET QUÀ - V1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,28/07/2026 00:00:00,Không giới hạn,2793,54,1.93%,-,-,3,3,5.56%,5.56%,34306.11,34306.11,4,4,580000,580000,102918,5.64,5.64,17.74%,17.74%,-,-,-,48734,568000
4,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2786,113,4.06%,-,-,6,4,5.31%,3.54%,19147.71,28721.56,9,5,595980,347000,114886,5.19,3.02,19.28%,33.11%,-,-,-,131639,642000
5,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,490,5,1.02%,-,-,1,0,20.00%,0.00%,15696.70,0.00,1,0,115000,0,15697,7.33,0.00,13.65%,0.00%,-,-,-,15848,65000
6,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,252,3,1.19%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,12620,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,210,4,1.90%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1819,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước Hoa,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,199,3,1.51%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1437,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Nến 200g,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,4623,126,2.73%,-,-,10,7,7.94%,5.56%,49956.06,71365.80,13,9,3485020,2600440,499561,6.98,5.21,14.33%,19.21%,-,-,-,0,0
10,NEN 200G,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,05/08/2026 00:00:00,Không giới hạn,1,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"SET Quà ""NẾN THƠM KHẮC TÊN THEO YÊU CẦU"" Aroma Story, Dùng Làm Quà Tặng Dịp Đặc Biệt, Sinh Nhật, 20/10, Tốt Nghiệp,... [4]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,42325105860,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/07/2026 00:00:00,Không giới hạn,10267,236,2.30%,22,9.32%,17,17,7.20%,7.20%,38664.69,38664.69,18,18,3574040,3574040,657300,5.44,5.44,18.39%,18.39%,-,-,-,180920,796000
