Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,14/09/2026 14:16
Khoảng thời gian,07/09/2026 - 07/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,10719,332,3.10%,-,-,19,16,5.72%,4.82%,34210.53,40625.00,24,21,4080700,3282400,650000,6.28,5.05,15.93%,19.80%,-,-,-,139808,854000
2,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,4238,209,4.93%,-,-,11,10,5.26%,4.78%,20222.90,22245.19,13,12,1035373,863873,222452,4.65,3.88,21.49%,25.75%,-,-,-,54859,763000
3,Nến 200g - 8.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,4053,119,2.94%,-,-,7,6,5.88%,5.04%,66640.12,77746.81,9,8,2315127,2257307,466481,4.96,4.84,20.15%,20.67%,-,-,-,0,0
4,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,3454,100,2.90%,-,-,7,7,7.00%,7.00%,52174.66,52174.66,8,8,1861920,1861920,365223,5.10,5.10,19.62%,19.62%,-,-,-,61515,815000
5,SET QUÀ - 18.08,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1398,18,1.29%,-,-,1,0,5.56%,0.00%,68856.14,0.00,3,0,320460,0,68856,4.65,0.00,21.49%,0.00%,-,-,-,0,0
6,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,1273,20,1.57%,-,-,3,3,15.00%,15.00%,32656.38,32656.38,4,4,455400,455400,97969,4.65,4.65,21.51%,21.51%,-,-,-,20984,230000
7,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,680,14,2.06%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10202,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,221,2,0.90%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7259,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,172,2,1.16%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,700,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,101,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1856,0.00,0.00,0.00%,0.00%,-,-,-,0,0
