Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory_official
Tên gian hàng,Aroma Story - The Art Of Scent
Mã Người bán,727941567
Thời gian tạo báo cáo,21/09/2026 17:19
Khoảng thời gian,19/09/2026 - 19/09/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Thêm vào giỏ hàng,Tỷ lệ Thêm vào giỏ hàng,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,TDKT TOP,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,09/07/2026 00:00:00,Không giới hạn,3439,109,3.17%,-,-,13,11,11.93%,10.09%,49134.46,58068.00,17,14,3520300,3287300,638748,5.51,5.15,18.14%,19.43%,-,-,-,123609,1420000
2,Nến - Túi Đế Thiệp,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,2429,106,4.36%,-,-,2,2,1.89%,1.89%,26709.35,26709.35,2,2,218000,218000,53419,4.08,4.08,24.50%,24.50%,-,-,-,52587,308000
3,Nến 50 - 100g,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,24/07/2026 00:00:00,Không giới hạn,2014,77,3.82%,-,-,5,4,6.49%,5.19%,11317.88,14147.35,8,6,536440,401200,56589,9.48,7.09,10.55%,14.11%,-,-,-,17350,195000
4,Nước Hoa Nữ - 15.8,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/08/2026 00:00:00,Không giới hạn,682,11,1.61%,-,-,1,1,9.09%,9.09%,145488.97,145488.97,4,4,738000,738000,145489,5.07,5.07,19.71%,19.71%,-,-,-,0,0
5,Nước hoa Nam,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/08/2026 00:00:00,Không giới hạn,569,10,1.76%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,14261,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,Tinh dầu 10ml - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,12/05/2026 00:00:00,Không giới hạn,492,10,2.03%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,14591,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,XTP 21.07,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,21/07/2026 00:00:00,Không giới hạn,411,3,0.73%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,7034,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,TD 10ml - 1,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,295,6,2.03%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2225,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,SET QUÀ - 18.08,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,18/08/2026 00:00:00,Không giới hạn,1880,44,2.34%,-,-,1,1,2.27%,2.27%,51609.22,51609.22,1,1,115000,115000,51609,2.23,2.23,44.88%,44.88%,-,-,-,45550,199000
10,Nến 200g - 8.8,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,08/08/2026 00:00:00,Không giới hạn,1817,49,2.70%,-,-,2,2,4.08%,4.08%,71718.60,71718.60,2,2,666400,666400,143437,4.65,4.65,21.52%,21.52%,-,-,-,0,0
