Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,05/07/2026 15:56
Khoảng thời gian,16/06/2026 - 16/06/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Set Quà Other 01,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/12/2025 00:00:00,Không giới hạn,3900,91,2.33%,-,-,4,4,4.40%,4.40%,38315.96,38315.96,4,4,859400,859400,153264,5.61,5.61,17.83%,17.83%,-,-,-,22308,99000
2,Nước Hoa All,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,2029,32,1.58%,-,-,3,1,9.38%,3.12%,45199.72,135599.15,3,1,557348,255096,135599,4.11,1.88,24.33%,53.16%,-,-,-,71875,286967
3,Nến Other,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,25/09/2025 00:00:00,Không giới hạn,677,20,2.95%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,22395,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Nến Thơm - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,423,13,3.07%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,12822,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,Tinh dầu 10ml,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/06/2026 00:00:00,Không giới hạn,916,17,1.86%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,81781,0.00,0.00,0.00%,0.00%,-,-,-,0,0
6,TDKT - Other,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,15/05/2026 00:00:00,Không giới hạn,18,0,0.00%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,210,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,"Nến Thơm Thủy Tinh Cao Cấp, Tự Nhiên Giúp Dễ Ngủ, Thư Giãn Aroma Story Nhiều Hương Size 50g/100g [23]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,19817897603,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/06/2026 00:00:00,Không giới hạn,1408,34,2.41%,4,11.76%,2,1,5.88%,2.94%,13043.99,26087.98,2,1,130000,65000,26088,4.98,2.49,20.07%,40.14%,-,-,-,0,0
8,"[HOT DEAL 10ml 39K - 100ml 149K] Nước Hoa Tóc Aroma Story Giúp Thơm Mượt Tóc, Tránh Bết, Khử Mùi, Size 10ml/100ml [20]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23623269794,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,26/03/2026 00:00:00,Không giới hạn,1224,32,2.61%,3,9.38%,3,1,9.38%,3.12%,24705.67,74117.02,3,1,389363,39000,74117,5.25,0.53,19.04%,190.04%,-,-,-,58660,255096
9,"Xịt Thơm Phòng, Quấn Áo Trà Trắng & Sung Aroma Story, Nước Hoa Xịt Thơm Size 200ml [9]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,22945218685,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,665,4,0.60%,0,0.00%,1,1,25.00%,25.00%,45434.25,45434.25,1,1,115000,115000,45434,2.53,2.53,39.51%,39.51%,-,-,-,0,0
10,"Xịt Thơm Phòng, Quần Áo Aroma Story Giúp Khử Mùi, Làm Thơm Không Gian Nhiều Hương Size  200ml [18]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,17283386401,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,482,7,1.45%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10214,0.00,0.00,0.00%,0.00%,-,-,-,0,0
11,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [99]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,16/06/2026 00:00:00,Không giới hạn,4032,107,2.65%,11,10.28%,14,11,13.08%,10.28%,39261.96,49969.77,14,11,2722512,2492879,549667,4.95,4.54,20.19%,22.05%,-,-,-,0,0
12,"Nến Thơm Quà Tặng Cao Cấp, Tự Nhiên Aroma Story Giúp Thư Giãn, Dễ Ngủ Với Nhiều Hương, Size Đa Dạng [83]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,12853667421,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/06/2026 00:00:00,Không giới hạn,2129,64,3.01%,6,9.38%,7,7,10.94%,10.94%,40004.15,40004.15,7,7,1477980,1477980,280029,5.28,5.28,18.95%,18.95%,-,-,-,0,0
13,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [98]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,07/06/2026 00:00:00,Không giới hạn,1684,39,2.32%,6,15.38%,2,2,5.13%,5.13%,101897.15,101897.15,2,2,368951,368951,203794,1.81,1.81,55.24%,55.24%,-,-,-,0,0
14,"Tinh Dầu Thiên Nhiên Hương Trà Trắng Aroma Story Nguyên Chất  – Xông Phòng, Thư Giãn, Ngủ Ngon 10ml [2]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,42101096624,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/06/2026 00:00:00,Không giới hạn,691,9,1.30%,0,0.00%,1,1,11.11%,11.11%,25554.50,25554.50,1,1,79000,79000,25554,3.09,3.09,32.35%,32.35%,-,-,-,0,0
15,Tinh Dầu Khuếch Tán Aroma Story Hương Trà Trắng Và Trái Sung True Grace Size 50ml/100ml/150ml [4],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,18604488622,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,495,8,1.62%,0,0.00%,1,1,12.50%,12.50%,73429.45,73429.45,1,1,187207,187207,73429,2.55,2.55,39.22%,39.22%,-,-,-,45151,187207
16,"Tinh Dầu Thiên Nhiên Hương Chanh Aroma Story Nguyên Chất 10ml – Xông Phòng, Thư Giãn, Ngủ Ngon",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,27486633330,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,15/06/2026 00:00:00,Không giới hạn,323,7,2.17%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,16634,0.00,0.00,0.00%,0.00%,-,-,-,0,0
17,[NEW ARRIVAL] Tinh Dầu Khuếch Tán Thơm Phòng Aroma Story Phiên Bản Đặc Biệt Size 50ml/100ml/150ml [15],Tạm dừng,Dịch vụ Hiển thị Sản phẩm,23456586630,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,06/06/2026 00:00:00,Không giới hạn,235,8,3.40%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4866,0.00,0.00,0.00%,0.00%,-,-,-,0,0
