Báo cáo Dịch vụ Hiển thị trả theo CPC - Shopee Việt Nam
Tên đăng nhập,aromastory.official
Tên gian hàng,Aroma Story - Góc Hương Thơm
Mã Người bán,434961385
Thời gian tạo báo cáo,05/07/2026 15:07
Khoảng thời gian,24/04/2026 - 24/04/2026

Thứ tự,Tên Dịch vụ Hiển thị,Trạng thái,Loại Dịch vụ Hiển thị,Mã sản phẩm,Cài đặt Đối tượng,Nội dung Dịch vụ Hiển thị,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Add to Cart,Add to Cart Rate,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,Doanh số,Doanh số trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm,Voucher Amount,Vouchered Sales
1,Nến Other,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,25/09/2025 00:00:00,Không giới hạn,790,18,2.28%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6120,0.00,0.00,0.00%,0.00%,-,-,-,0,0
2,Set Quà Other 01,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,19/12/2025 00:00:00,Không giới hạn,310,3,0.97%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3894,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,Nến Thơm - 2,Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,176,3,1.70%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1594,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Nước hoa 10ml,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/01/2026 00:00:00,Không giới hạn,4125,86,2.08%,-,-,7,7,8.14%,8.14%,27757.97,27757.97,18,18,942711,942711,194306,4.85,4.85,20.61%,20.61%,-,-,-,7072,69000
5,"Nến - Tặng túi, đế, thiệp",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,11/11/2025 00:00:00,Không giới hạn,577,11,1.91%,-,-,1,1,9.09%,9.09%,19885.36,19885.36,1,1,105730,105730,19885,5.32,5.32,18.81%,18.81%,-,-,-,0,0
6,TDKT - 2,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,02/04/2026 00:00:00,Không giới hạn,250,6,2.40%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3294,0.00,0.00,0.00%,0.00%,-,-,-,0,0
7,TD 10ml - 1,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,03/04/2026 00:00:00,Không giới hạn,171,5,2.92%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,13861,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,10ml Other,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,31/10/2025 00:00:00,Không giới hạn,140,6,4.29%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10436,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,Xịt Thơm Phòng,Tạm dừng,Dịch vụ Hiển thị Sản phẩm,-,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,-,02/04/2026 00:00:00,Không giới hạn,121,1,0.83%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,142,0.00,0.00,0.00%,0.00%,-,-,-,0,0
10,"[HOT DEAL 10ml 39K - 100ml 149K] Nước Hoa Tóc Aroma Story Giúp Thơm Mượt Tóc, Tránh Bết, Khử Mùi, Size 10ml/100ml [20]",Đang diễn ra,Dịch vụ Hiển thị Sản phẩm,23623269794,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,26/03/2026 00:00:00,Không giới hạn,1127,25,2.22%,0,0.00%,5,3,20.00%,12.00%,8790.70,14651.17,5,3,220590,115830,43953,5.02,2.64,19.93%,37.95%,-,-,-,0,0
11,"[23 Hương]Tinh Dầu Nước Hoa Thơm Phòng Cắm Que Khuếch Tán Aroma Story Nhiều Hương, Size 50ml/100ml [95]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,16214155821,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,25/03/2026 00:00:00,Không giới hạn,3556,78,2.19%,0,0.00%,6,4,7.69%,5.13%,54422.25,81633.37,8,6,1663048,1663048,326533,5.09,5.09,19.63%,19.63%,-,-,-,0,0
12,"Nến Thơm Quà Tặng Cao Cấp, Tự Nhiên Aroma Story Giúp Thư Giãn, Dễ Ngủ Với Nhiều Hương, Size Đa Dạng [77]",Tạm dừng,Dịch vụ Hiển thị Sản phẩm,12853667421,-,-,Tối đa Doanh thu Tùy chỉnh ROAS,Tất cả,31/03/2026 00:00:00,Không giới hạn,1929,44,2.28%,0,0.00%,5,5,11.36%,11.36%,42868.33,42868.33,5,5,988256,988256,214342,4.61,4.61,21.69%,21.69%,-,-,-,0,0
